sample_id	Class
sample_10	BRCA
sample_100	BRCA
sample_102	BRCA
sample_111	BRCA
sample_114	BRCA
sample_118	BRCA
sample_119	BRCA
sample_123	BRCA
sample_127	BRCA
sample_13	BRCA
sample_131	BRCA
sample_133	BRCA
sample_134	BRCA
sample_137	BRCA
sample_14	BRCA
sample_140	BRCA
sample_142	BRCA
sample_147	BRCA
sample_15	BRCA
sample_152	BRCA
sample_153	BRCA
sample_155	BRCA
sample_156	BRCA
sample_163	BRCA
sample_169	BRCA
sample_101	KIRC
sample_103	KIRC
sample_105	KIRC
sample_11	KIRC
sample_115	KIRC
sample_116	KIRC
sample_117	KIRC
sample_121	KIRC
sample_128	KIRC
sample_135	KIRC
sample_138	KIRC
sample_143	KIRC
sample_162	KIRC
sample_167	KIRC
sample_17	KIRC
sample_170	KIRC
sample_179	KIRC
sample_18	KIRC
sample_181	KIRC
sample_191	KIRC
sample_201	KIRC
sample_202	KIRC
sample_203	KIRC
sample_204	KIRC
sample_21	KIRC
sample_1	LUAD
sample_104	LUAD
sample_106	LUAD
sample_108	LUAD
sample_109	LUAD
sample_112	LUAD
sample_120	LUAD
sample_122	LUAD
sample_129	LUAD
sample_136	LUAD
sample_144	LUAD
sample_148	LUAD
sample_149	LUAD
sample_150	LUAD
sample_151	LUAD
sample_154	LUAD
sample_159	LUAD
sample_16	LUAD
sample_161	LUAD
sample_165	LUAD
sample_168	LUAD
sample_171	LUAD
sample_173	LUAD
sample_186	LUAD
sample_187	LUAD
sample_0	PRAD
sample_110	PRAD
sample_113	PRAD
sample_12	PRAD
sample_124	PRAD
sample_125	PRAD
sample_126	PRAD
sample_141	PRAD
sample_146	PRAD
sample_157	PRAD
sample_158	PRAD
sample_160	PRAD
sample_164	PRAD
sample_177	PRAD
sample_183	PRAD
sample_184	PRAD
sample_185	PRAD
sample_19	PRAD
sample_193	PRAD
sample_2	PRAD
sample_205	PRAD
sample_207	PRAD
sample_212	PRAD
sample_214	PRAD
sample_227	PRAD
